name,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,self_cpu_memory_bytes,self_cuda_memory_bytes,cpu_memory_bytes,cuda_memory_bytes,count,flops,device_type
#VecTask__step__SIMULATE,907.85314100002,1020.2693039999948,0.0,25.61635099999237,0,0,0,0,256,0,DeviceType.CPU
#VecTask__step__SIMULATE,0.0,0.0,4217.448158999995,4217.448158999995,0,0,0,0,1792,0,DeviceType.CUDA
$SatelliteVec__apply_torque__noise_and_clamp,13.850120000003518,24.773149000004253,0.0,0.6463079999997281,0,-25116672,0,49152,256,0,DeviceType.CPU
$SatelliteVec__apply_torque__noise_and_clamp,0.0,0.0,7.996768000003882,7.996768000003882,0,0,0,0,256,0,DeviceType.CUDA
$SatelliteVec__apply_torque__sim,23.020883000006112,43.13711000001076,0.0,2.869899000008154,0,0,0,0,256,0,DeviceType.CPU
$SatelliteVec__apply_torque__sim,0.0,0.0,23.106857999995817,23.106857999995817,0,0,0,0,512,0,DeviceType.CUDA
$SatelliteVec__check_termination,135.20628800000412,423.0913940000023,0.0,23.155050999988774,0,-229687296,0,13623296,256,0,DeviceType.CPU
$SatelliteVec__check_termination,0.0,0.0,397.8811730000025,397.8811730000025,0,0,0,0,256,0,DeviceType.CUDA
$SatelliteVec__compute_observations__compute_buffe,106.04680499998014,307.0612519999994,0.0,18.14980299996995,0,-268435456,0,71303168,256,0,DeviceType.CPU
$SatelliteVec__compute_observations__compute_buffe,0.0,0.0,286.98083099999525,286.98083099999525,0,0,0,0,256,0,DeviceType.CUDA
$SatelliteVec__compute_observations__noise_and_cla,13.052166999999317,23.821208999996074,0.0,0.8433580000057409,0,-130023424,0,0,256,0,DeviceType.CPU
$SatelliteVec__compute_observations__noise_and_cla,0.0,0.0,7.324187000001082,7.324187000001082,0,0,0,0,256,0,DeviceType.CUDA
$SatelliteVec__compute_observations__sim,18.20738100000782,35.046021000001495,0.0,1.6093039999985195,0,-25116672,0,49152,256,0,DeviceType.CPU
$SatelliteVec__compute_observations__sim,0.0,0.0,18.76720699999615,18.76720699999615,0,0,0,0,512,0,DeviceType.CUDA
$SatelliteVec__compute_reward,189.14873199993764,673.9852579999986,0.0,38.62835099999944,0,-332759040,0,4177920,256,0,DeviceType.CPU
$SatelliteVec__compute_reward,0.0,0.0,646.4777410000046,646.4777410000046,0,0,0,0,256,0,DeviceType.CUDA
$SatelliteVec__reset_idx__reset_buffers,0.14335100000000783,0.585746000000001,0.0,0.032672000000002296,0,-98304,0,0,1,0,DeviceType.CPU
$SatelliteVec__reset_idx__reset_buffers,0.0,0.0,0.503264000000001,0.503264000000001,0,0,0,0,1,0,DeviceType.CUDA
$SatelliteVec__reset_idx__sample_goal,0.11254599999999845,0.22875,0.0,0.017407999999997627,0,-147456,0,0,1,0,DeviceType.CPU
$SatelliteVec__reset_idx__sample_goal,0.0,0.0,0.13379099999999927,0.13379099999999927,0,0,0,0,1,0,DeviceType.CUDA
$SatelliteVec__reset_idx__sim,0.45158000000000176,9.910937,0.0,0.02108799999999974,0,-262144,0,16384,1,0,DeviceType.CPU
$SatelliteVec__reset_idx__sim,0.0,0.0,0.5523850000000002,0.5523850000000002,0,0,0,0,2,0,DeviceType.CUDA
$SatelliteVec__termination,16.033836000000214,82.72029800000743,0.0,2.1823579999948417,0,-1048576,0,0,256,0,DeviceType.CPU
$SatelliteVec__termination,0.0,0.0,37.71123699999932,37.71123699999932,0,0,0,0,256,0,DeviceType.CUDA
AddBackward0,0.5830800000072922,0.5830800000072922,0.0,0.0,0,0,0,0,768,0,DeviceType.CPU
AddmmBackward0,29.59763400002528,158.75263100000674,0.0,190.74969700001745,0,0,0,10760880128,2048,0,DeviceType.CPU
ClampBackward1,10.83963999999594,85.32709400000353,0.0,5.584842999974265,0,-34209792,0,67239936,768,0,DeviceType.CPU
DivBackward0,4.041595999988727,21.722409000000916,0.0,3.874162999996217,0,-301989888,0,201326592,256,0,DeviceType.CPU
EluBackward0,4.528425000023912,33.32331700002332,0.0,103.64095999998658,0,0,0,10737418240,1536,0,DeviceType.CPU
ExpBackward0,2.7060809999996565,10.496016000002273,0.0,0.693533000012394,0,0,0,33685504,512,0,DeviceType.CPU
ExpandBackward0,1.6872999999951572,7.180225999998162,0.0,3.1719379999910013,0,0,0,131072,256,0,DeviceType.CPU
LogBackward0,0.7683200000115903,7.067514000000432,0.0,1.2006009999958334,0,0,0,100663296,256,0,DeviceType.CPU
MeanBackward0,1.2023040000027978,8.781909000000974,0.0,0.5170569999951403,0,0,0,33554432,256,0,DeviceType.CPU
Memcpy DtoD (Device -> Device),0.0,0.0,4.183660999996966,4.183660999996966,0,0,0,0,2352,0,DeviceType.CUDA
Memcpy DtoH (Device -> Pageable),0.0,0.0,1.1470070000030392,1.1470070000030392,0,0,0,0,626,0,DeviceType.CUDA
