-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               #VecTask__step__SIMULATE         0.00%       0.000us         0.00%       0.000us       0.000us     294.790ms        51.12%     294.790ms       2.632ms           0 b           0 b           0 b           0 b           112            --  
                          $SatelliteVec__compute_reward         0.00%       0.000us         0.00%       0.000us       0.000us      56.419ms         9.78%      56.419ms       3.526ms           0 b           0 b           0 b           0 b            16            --  
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us      41.749ms         7.24%      41.749ms       2.609ms           0 b           0 b           0 b           0 b            16            --  
                       $SatelliteVec__check_termination         0.00%       0.000us         0.00%       0.000us       0.000us      25.787ms         4.47%      25.787ms       1.612ms           0 b           0 b           0 b           0 b            16            --  
                                            aten::addmm         0.90%       7.190ms         2.99%      23.928ms      92.030us      23.057ms         4.00%      23.057ms      88.679us           0 b           0 b     739.64 Mb     739.64 Mb           260     17046.438  
$SatelliteVec__compute_observations__compute_buffers...         0.00%       0.000us         0.00%       0.000us       0.000us      18.096ms         3.14%      18.096ms       1.131ms           0 b           0 b           0 b           0 b            16            --  
                                               aten::mm         0.45%       3.632ms         1.35%      10.812ms      48.268us      13.134ms         2.28%      13.134ms      58.633us           0 b           0 b     649.02 Mb     649.02 Mb           224     28118.614  
                                   volta_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      12.767ms         2.21%      12.767ms     130.280us           0 b           0 b           0 b           0 b            98            --  
                                  volta_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.748ms         1.69%       9.748ms      75.568us           0 b           0 b           0 b           0 b           129            --  
                      sortAndUpdateAggregateProjections         0.00%       0.000us         0.00%       0.000us       0.000us       8.291ms         1.44%       8.291ms     259.082us           0 b           0 b           0 b           0 b            32            --  
            radixSortMultiCalculateRanksLaunchWithCount         0.00%       0.000us         0.00%       0.000us       0.000us       7.058ms         1.22%       7.058ms      27.570us           0 b           0 b           0 b           0 b           256            --  
                         volta_sgemm_32x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us       7.035ms         1.22%       7.035ms      62.812us           0 b           0 b           0 b           0 b           112            --  
                                     aten::elu_backward         0.12%     995.787us         0.20%       1.614ms      16.808us       6.450ms         1.12%       6.450ms      67.190us           0 b           0 b     640.00 Mb     640.00 Mb            96            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.450ms         1.12%       6.450ms      67.190us           0 b           0 b           0 b           0 b            96            --  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       5.572ms         0.97%       5.572ms       9.525us           0 b           0 b           0 b           0 b           585            --  
                      artiSolveInternalConstraintsTGS1T         0.00%       0.000us         0.00%       0.000us       0.000us       5.298ms         0.92%       5.298ms      33.112us           0 b           0 b           0 b           0 b           160            --  
                                              aten::elu         0.30%       2.394ms         0.62%       4.952ms      25.394us       5.214ms         0.90%       5.214ms      26.737us           0 b           0 b     722.50 Mb     722.50 Mb           195            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.214ms         0.90%       5.214ms      26.737us           0 b           0 b           0 b           0 b           195            --  
                 computeUnconstrainedVelocities1TLaunch         0.00%       0.000us         0.00%       0.000us       0.000us       4.883ms         0.85%       4.883ms     152.604us           0 b           0 b           0 b           0 b            32            --  
                                     stepArticulation1T         0.00%       0.000us         0.00%       0.000us       0.000us       4.846ms         0.84%       4.846ms      37.856us           0 b           0 b           0 b           0 b           128            --  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us       4.568ms         0.79%       4.568ms      71.370us           0 b           0 b           0 b           0 b            64            --  
                                              aten::sum         0.35%       2.803ms         1.08%       8.616ms      48.956us       4.506ms         0.78%       4.506ms      25.605us           0 b           0 b       2.32 Mb       2.32 Mb           176            --  
                     radixSortMultiBlockLaunchWithCount         0.00%       0.000us         0.00%       0.000us       0.000us       4.227ms         0.73%       4.227ms      16.512us           0 b           0 b           0 b           0 b           256            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.591ms         0.62%       3.591ms      37.405us           0 b           0 b           0 b           0 b            96            --  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.489ms         0.61%       3.489ms       4.766us           0 b           0 b           0 b           0 b           732            --  
                                         cuLaunchKernel         0.78%       6.253ms         0.78%       6.253ms       2.063us       3.456ms         0.60%       3.456ms       1.140us           0 b           0 b           0 b           0 b          3031            --  
                                   updateBodiesLaunch1T         0.00%       0.000us         0.00%       0.000us       0.000us       3.216ms         0.56%       3.216ms     100.493us           0 b           0 b           0 b           0 b            32            --  
                             $SatelliteVec__termination         0.00%       0.000us         0.00%       0.000us       0.000us       2.966ms         0.51%       2.966ms     185.400us           0 b           0 b           0 b           0 b            16            --  
              computeUnconstrainedAccelerationsLaunch1T         0.00%       0.000us         0.00%       0.000us       0.000us       2.563ms         0.44%       2.563ms      80.105us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.205ms         0.38%       2.205ms       2.492us           0 b           0 b           0 b           0 b           885            --  
                                              aten::sub         1.01%       8.099ms         2.51%      20.110ms      22.646us       2.049ms         0.36%       2.049ms       2.307us           0 b           0 b      86.02 Mb      86.02 Mb           888            --  
      computeUnconstrainedSpatialInertiaLaunchPartial1T         0.00%       0.000us         0.00%       0.000us       0.000us       2.010ms         0.35%       2.010ms      62.798us           0 b           0 b           0 b           0 b            32            --  
                                              aten::add         1.17%       9.363ms         1.75%      14.041ms      13.424us       1.843ms         0.32%       1.843ms       1.762us           0 b           0 b      22.88 Mb      22.88 Mb          1046         5.969  
                                    computeMassMatrix1T         0.00%       0.000us         0.00%       0.000us       0.000us       1.668ms         0.29%       1.668ms      52.115us           0 b           0 b           0 b           0 b            32            --  
                                              aten::mul         1.17%       9.350ms         1.87%      14.984ms      15.543us       1.633ms         0.28%       1.633ms       1.694us           0 b           0 b      70.04 Mb      70.04 Mb           964        18.084  
                updateTransformCacheAndBoundArrayLaunch         0.00%       0.000us         0.00%       0.000us       0.000us       1.501ms         0.26%       1.501ms      46.904us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.484ms         0.26%       1.484ms       1.627us           0 b           0 b           0 b           0 b           912            --  
                       $SatelliteVec__apply_torque__sim         0.00%       0.000us         0.00%       0.000us       0.000us       1.364ms         0.24%       1.364ms      42.639us           0 b           0 b           0 b           0 b            32            --  
               $SatelliteVec__compute_observations__sim         0.00%       0.000us         0.00%       0.000us       0.000us       1.101ms         0.19%       1.101ms      34.410us           0 b           0 b           0 b           0 b            32            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.073ms         0.19%       1.073ms       1.958us           0 b           0 b           0 b           0 b           548            --  
             computeUnconstrainedSpatialInertiaLaunch1T         0.00%       0.000us         0.00%       0.000us       0.000us       1.043ms         0.18%       1.043ms      32.598us           0 b           0 b           0 b           0 b            32            --  
                                              aten::div         0.39%       3.121ms         0.57%       4.551ms      16.670us     992.512us         0.17%     992.512us       3.636us          16 b          16 b      81.83 Mb      81.83 Mb           273            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     936.125us         0.16%     936.125us       1.625us           0 b           0 b           0 b           0 b           576            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     877.125us         0.15%     877.125us      10.964us           0 b           0 b           0 b           0 b            80            --  
                                            aten::copy_         0.27%       2.135ms         0.58%       4.648ms      13.472us     744.030us         0.13%     744.030us       2.157us           0 b           0 b           0 b           0 b           345            --  
void splitKreduce_kernel<32, 16, int, float, float, ...         0.00%       0.000us         0.00%       0.000us       0.000us     662.210us         0.11%     662.210us       5.174us           0 b           0 b           0 b           0 b           128            --  
                                  updateAggregateBounds         0.00%       0.000us         0.00%       0.000us       0.000us     624.960us         0.11%     624.960us      19.530us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     591.966us         0.10%     591.966us       6.964us           0 b           0 b           0 b           0 b            85            --  
                                             aten::mean         0.17%       1.390ms         0.78%       6.231ms      79.880us     590.655us         0.10%     590.655us       7.573us           0 b           0 b      31.00 Kb      31.00 Kb            78            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     589.888us         0.10%     589.888us       7.563us           0 b           0 b           0 b           0 b            78            --  
